Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
Neoguri Udon,100 g,433.33,63.33,16.67,8.33
Mikuya Ramen Tori Kara Flavor,100 g,450.0,62.5,17.5,9.17
Ayam Bawang,100 g,453.33,61.33,20.0,9.33
Selera Pedas Rasa Sup Tomat Pedas,100 g,457.14,62.86,18.57,10.0
Korean Spicy Chicken Cup,100 g,469.14,62.96,20.99,9.88
Mie Selera Pedas Rasa Ayam Pedas Limau,100 g,458.82,68.24,16.47,9.41
Mie Goreng Extra Pedas,100 g,440.0,68.0,16.0,9.33
Champong,100 g,429.84,67.74,13.71,8.06
Mi Keriting Rasa Ayam Panggang,100 g,433.33,58.89,16.67,11.11
Mie Goreng Ala Chef Devina,100 g,462.37,63.44,18.28,10.75
Mie Gepeng Soup Green Chili Soto,100 g,432.84,59.7,17.91,10.45
Rasa Ayam Spesial,100 g,453.33,62.67,18.67,9.33
Ramen Keju,100 g,433.33,60.0,16.67,10.0
Tomyam Flavour,100 g,463.86,59.16,21.2,8.92
Mie Goreng Rendang,100 g,376.62,70.13,6.49,10.39
Rasa Tengkleng,100 g,466.67,60.0,18.67,12.0
Mie Gaga 100 Extra Pedas Goreng Jalapeno,100 g,447.06,63.53,16.47,9.41
Laksa Ala Singapura,100 g,435.29,68.24,14.12,9.41
Mi Instan Goreng Rasa Pedas,100 g,400.0,67.69,7.69,12.31
Niku Udon,100 g,104.35,15.65,3.7,7.39
Curly Fried Noodle Salted Egg,100 g,480.0,53.0,25.0,11.0
Bihun Kering,100 g,364.0,83.24,0.56,3.44
Tom Yum Noodle,100 g,67.57,14.86,0.0,0.0
Mikuya Ramen Iya-Iya Flavor,100 g,466.67,58.33,21.67,9.17
Ghost Pepper Creamy Curry Lontong,100 g,440.0,64.0,16.0,8.0
Ayam Goreng,100 g,260.0,10.76,14.55,21.93
"Daging Ayam (Panggang, Bakar, Dimasak)",100 g,167.0,0.0,6.63,25.01
Dada Ayam,100 g,195.0,0.0,7.72,29.55
"Daging Dada Ayam (Ayam Pedaging, Dipanggang, Dimasak)",100 g,165.0,0.0,3.57,31.02
Dada Ayam Rebus (Kulit Tidak Dimakan),100 g,150.0,0.0,3.0,28.74
Ayam Kecap,100 g,223.0,9.41,11.96,18.82
Ayam (Dilapisi Tepung Roti Dan Digoreng),100 g,297.0,16.32,18.82,15.59
Ayam,100 g,237.0,0.0,13.49,27.07
Opor Ayam,100 g,163.0,5.6,8.67,16.53
Ayam Masak Merah,100 g,131.0,7.53,4.31,16.01
Ayam Rica-Rica,100 g,202.0,3.71,11.41,20.49
Dada Ayam Goreng Ada Lapisan (Kulit Tidak Dimakan),100 g,184.0,0.0,4.68,33.34
Dada Ayam Goreng Tanpa Pelapis (Kulit Dimakan),100 g,216.0,0.0,9.1,31.67
Dada Ayam (Kulit Tidak Dimakan),100 g,164.0,0.0,3.54,30.76
Ayam Geprek,100 g,263.0,7.6,17.99,17.61
Ayam Suwir,100 g,112.0,0.0,2.07,21.86
Ayam Balado,100 g,207.0,3.0,10.0,23.0
Dada Ayam Panggang Atau Goreng Dilapisi Kulit,100 g,261.0,9.48,13.27,24.47
"Daging Paha Ayam (Ayam Pedaging, Dipanggang, Dimasak)",100 g,209.0,0.0,10.88,25.94
Ayam (Kulit Tidak Dimakan),100 g,188.0,0.0,7.35,28.69
Paha Ayam (Kulit Tidak Dimakan),100 g,207.0,0.0,10.79,25.72
Ayam Woku,100 g,117.0,0.68,5.14,16.11
Ayam Kuning,100 g,140.0,0.0,5.0,26.0
Dada Ayam Masak,100 g,110.0,0.0,1.24,23.09
Chicken Karage,100 g,240.0,21.0,11.0,13.0
Chicken Breast Original Recipe,100 g,220.86,6.75,12.88,20.86
Daging Dada Ayam (Ayam Pedaging),100 g,110.0,0.0,1.24,23.09
Ayam Potong Berbumbu,100 g,166.67,12.67,6.0,16.0
Ampela,100 g,145.0,0.0,2.66,30.14
Sayap Ayam (Kulit Tidak Dimakan),100 g,201.0,0.0,8.06,30.21
Leher Ayam,100 g,297.0,0.0,26.24,14.07
Hati Ayam,100 g,116.0,0.0,4.83,16.92
Ayam Goreng Tanpa Pelapis (Kulit Dimakan),100 g,260.0,0.0,15.35,28.62
Daging Dada Dan Kulit Ayam (Ayam Pedaging),100 g,172.0,0.0,9.25,20.85
Ayam Lada Hitam,100 g,177.0,4.25,8.34,20.49
Burger Daging Ayam,100 g,260.0,24.0,13.0,12.0
"Dada Ayam (Panggang Oven, Bebas Lemak, Iris)",100 g,79.0,2.17,0.39,16.79
Ayam Cincang Buncis,100 g,144.0,19.23,3.69,9.23
Daging Dan Kulit Ayam (Panggang),100 g,216.0,0.0,15.85,17.14
Bakpao Ayam,100 g,239.0,41.9,2.61,12.46
Nasi Ayam Hainan,100 g,200.0,24.0,8.0,10.0
Chicken Yakiniku,100 g,300.0,15.0,10.0,37.5
Ceker,100 g,215.0,0.2,14.6,19.4
Chicken Katsu,100 g,200.0,13.0,10.0,15.0
Hati Ayam Goreng,100 g,172.0,1.11,6.43,25.78
Ayam Goreng Mcd Spicy,100 g,273.0,9.9,16.8,19.0
Nugget Chicken Stick,100 g,269.23,19.23,13.46,17.31
Ayam Bakar (Kulit Tidak Dimakan),100 g,188.0,0.0,7.35,28.69
Chicken Drumstick Original Recipe,100 g,235.29,5.88,13.73,21.57
Rolade Ayam,100 g,132.53,7.23,6.02,14.46
Daging Burung Dara,100 g,142.0,0.0,7.5,17.5
French Blackpepper Bento,100 g,162.07,22.07,4.14,8.97
Minyak Ayam,100 g,900.0,0.0,99.8,0.0
Ayam Bakar,100 g,372.0,7.14,30.95,17.57
Kwetiau Goreng,100 g,210.0,26.0,9.0,7.0
Hot Chicken Flavor Ramen 2X Spicy,100 g,428.57,60.71,12.14,9.29
Fire Chicken,100 g,271.43,15.54,13.04,23.21
Nasi Jeruk Ayam Bakar,100 g,821.67,116.67,20.0,46.67
Kulit Ayam,100 g,454.0,0.0,40.68,20.36
Usus Ayam Goreng,100 g,345.0,19.84,21.69,17.78
Paha Ayam Panggang,100 g,245.0,0.0,15.36,24.85
Ayam Atau Kalkun Manis Dan Asam,100 g,89.0,11.23,2.43,6.09
Ayam Kukus Jahe,100 g,193.0,2.1,10.06,22.12
Sosis Ayam,100 g,213.33,20.0,10.67,9.33
Ayam Panggang,100 g,237.0,0.0,13.49,27.07
Kornet Daging Ayam,100 g,140.0,10.0,7.0,10.0
Daging Ayam (Panggang),100 g,111.0,0.0,2.7,20.33
Usus Ayam,100 g,94.0,0.0,2.06,17.66
Daging Paha Ayam (Ayam Pedaging),100 g,119.0,0.0,3.91,19.65
Kaldu Ayam,100 g,453.33,66.67,16.0,8.0
Daging Sapi,100 g,288.0,0.0,19.54,26.33
Daging Sapi (95% Tanpa Lemak / 5% Lemak),100 g,137.0,0.0,5.0,21.41
Rendang,100 g,195.0,4.49,11.07,19.68
Daging Sapi (70% Tidak Berlemak / 30% Lemak),100 g,332.0,0.0,30.0,14.35
Gulai Daging Sapi,100 g,109.0,3.02,4.63,13.2
Daging Sapi (90% Tanpa Lemak / 10% Lemak),100 g,176.0,0.0,10.0,20.0
Daging Sapi Panggang,100 g,267.0,0.0,17.32,25.91
Daging Sapi (85% Tanpa Lemak / 15% Lemak),100 g,215.0,0.0,15.0,18.59
Sapi Iris Mercon,100 g,386.25,3.75,25.0,35.0
Sumsum Sapi,100 g,786.0,0.0,84.4,6.7
Daging Sapi (80% Tanpa Lemak / 20% Lemak),100 g,254.0,0.0,20.0,17.17
Koyor Sapi,100 g,146.0,0.0,0.62,34.6
Lemak Sapi,100 g,902.0,0.0,100.0,0.0
Steak Daging Sapi,100 g,252.0,0.0,15.01,27.29
Babat Sapi,100 g,94.0,1.99,4.05,11.71
Daging Sapi Giling,100 g,276.0,0.0,18.58,25.35
Sapi Ala Jepang,100 g,255.56,6.67,16.67,17.78
Kari Daging Sapi,100 g,184.0,5.8,12.96,11.69
Dendeng Daging Sapi,100 g,410.0,11.0,25.6,33.2
Punggung Sapi,100 g,342.0,0.0,26.15,24.84
Paru Sapi,100 g,92.0,0.0,2.5,16.2
Usus Sapi,100 g,130.0,1.5,7.2,14.0
"Daging Sapi Sirloin Atas (Diiris Hingga 0.3 Cm Lemak, Kelas Tinggi)",100 g,214.0,0.0,14.28,19.92
Bakso Sapi,100 g,270.83,9.17,5.0,13.33
Kornet Daging Punggung Sapi  (Diawetkan),100 g,198.0,0.14,14.9,14.68
Abon Sapi,100 g,480.0,52.0,20.0,16.0
Sapi Iris Limau,100 g,400.0,11.25,32.5,16.25
Enchilada Dengan Keju Dan Daging Sapi,100 g,168.0,15.87,9.19,6.21
Sapi Panggang,100 g,533.33,53.33,30.0,6.67
"Daging Sapi T-Bone Steak (Bagian Tanpa Lemak, Diiris Hingga 0 Cm Lemak, Dimasak, Dipanggang)",100 g,189.0,0.0,8.69,25.99
Burger Sapi,100 g,181.82,18.18,6.06,12.12
"Daging Sapi Top Sirloin (Hanya Bagian Yang Tanpa Lemak, Diiris Hingga 0.3 Cm Lemak)",100 g,127.0,0.0,3.54,22.27
Rolade Sapi,100 g,156.63,9.64,7.23,12.05
Kaldu Sapi,100 g,375.0,0.0,1.88,93.75
Daging Sapi Muda,100 g,229.0,0.0,11.3,29.85
Mie Gelas Rasa Baso Sapi,100 g,428.57,64.29,14.29,10.71
Sosis Sapi,100 g,133.33,3.33,3.33,23.33
"Daging Sapi Top Sirloin (Diiris Hingga 0.3 Cm Lemak, Kualitas Menengah)",100 g,201.0,0.0,12.71,20.3
Kornet Daging Sapi,100 g,160.0,8.0,9.0,12.0
Hati Sapi,100 g,165.0,0.15,4.73,28.48
Daging Sapi Luncheon,100 g,200.0,10.0,12.0,10.0
Sozzis Sapi,100 g,180.0,18.0,7.0,10.0
Daging Sapi Ekstra Tanpa Lemak,100 g,248.0,0.0,15.35,25.71
Daging Sapi Panggang (Hanya Bagian Tanpa Lemak Yang Dimakan),100 g,198.0,0.0,8.52,28.32
Rasa Baso Sapi,100 g,467.53,63.64,19.48,9.09
Daging Sapi T-Bone Steak (Diiris Hingga 0.5 Cm Lemak),100 g,212.0,0.0,14.31,19.39
Daging Sapi Asap (Diawetkan),100 g,146.0,0.0,5.82,21.8
Daging Sapi Top Sirloin (Diiris Hingga 0.3 Cm Lemak),100 g,189.0,0.0,11.13,20.68
Steak Daging Sapi (Hanya Bagian Yang Tidak Berlemak Yang Dimakan),100 g,187.0,0.0,6.63,29.81
Daging Sapi Tenderloin (Diiris Hingga 0.3 Cm Lemak),100 g,247.0,0.0,18.16,19.61
Daging Sapi Top Loin (Diiris Hingga 0.3 Cm Lemak),100 g,228.0,0.0,15.49,20.61
Limpa Sapi,100 g,105.0,0.0,3.0,18.3
Kailan Sapi,100 g,104.0,5.0,6.0,8.0
Lidah Sapi,100 g,224.0,3.68,16.09,14.9
Enchilada Dengan Daging Sapi Dan Keju,100 g,202.0,15.78,11.37,10.02
Enchilada Dengan Daging Sapi,100 g,187.0,17.99,8.7,10.02
Gelas Baso Sapi,100 g,14000.0,1800.0,600.0,200.0
Semur Daging,100 g,141.0,4.34,8.0,12.7
Empal Daging,100 g,212.0,7.47,10.29,22.31
Oseng Mercon Daging,100 g,293.33,10.67,22.67,10.67
Daging,100 g,287.0,0.0,19.29,26.41
Daging Sapi (75% Tanpa Lemak / 25% Lemak),100 g,293.0,0.0,25.0,15.76
Daging Lada Hitam,100 g,269.23,38.46,11.54,7.69
Potongan Daging Domba (Daging Dan Lemak Dimakan),100 g,314.0,0.0,24.37,22.03
Daging Babi,100 g,271.0,0.0,17.04,27.34
Daging Domba Panggang,100 g,266.0,0.0,18.15,23.93
Soyburger Tanpa Daging,100 g,179.0,13.4,5.97,17.91
"Irisan Daging Babi (Biasa, Kira-Kira 11% Lemak)",100 g,163.0,3.83,8.6,16.6
Bakso Daging Sapi,100 g,107.69,4.62,2.31,18.46
Daging Rusa Besar,100 g,111.0,0.0,1.45,22.95
Daging Sapi Cincang,100 g,167.86,25.0,5.0,6.07
Potongan Daging Domba (Hanya Daging Yang Dimakan),100 g,215.0,0.0,10.48,28.17
Daging Domba,100 g,292.0,0.0,20.77,24.32
Steak Daging Babi Atau Potongan Daging,100 g,248.0,0.0,14.25,28.0
Daging Analog Cincang,100 g,375.0,37.5,0.0,52.5
Irisan Daging Babi (Ekstra Tanpa Lemak),100 g,110.0,2.63,2.86,17.28
Daging Kambing Goreng,100 g,153.0,0.0,4.52,26.46
Potongan Daging Babi,100 g,250.0,0.0,14.57,27.91
Bakso Tanpa Daging,100 g,197.0,8.0,9.0,21.0
"Daging Babi (Pinggang Bagian Atas, Tanpa Tulang)",100 g,144.0,0.0,5.89,21.35
Daging Menjangan/Rusa Rebus,100 g,190.0,0.0,3.93,36.08
Daging Isi Tortelini,100 g,193.0,17.36,7.65,12.64
Salad Pasta Atau Makaroni Dengan Daging,100 g,172.0,17.94,8.15,6.66
Daging Analog Irisan,100 g,350.0,30.0,2.5,52.5
Daging Menjangan/Rusa Yang Diawetkan,100 g,187.0,0.0,4.08,35.11
Potongan Daging Babi Panggang,100 g,240.0,0.0,13.8,27.09
Daging Menjangan/Rusa,100 g,190.0,0.0,3.93,36.08
"Daging Sapi Top Sirloin (Hanya Bagian Yang Tanpa Lemak, Diiris Hingga 0.3 Cm Lemak, Kualitas Tinggi)",100 g,131.0,0.0,4.08,22.09
Daging Punggung Sapi (Hanya Bagian Tanpa Lemak Yang Dimakan),100 g,230.0,0.0,11.53,29.63
Calzone Dengan Daging Dan Keju,100 g,348.0,30.9,18.12,14.62
Ikan,100 g,84.0,0.0,0.92,17.76
Ikan Tongkol Goreng,100 g,200.0,2.38,11.41,20.95
Ikan Kembung,100 g,167.0,0.0,9.36,19.32
Ikan Mujair Goreng,100 g,169.0,2.22,6.92,24.55
Ikan Kembung Balado,100 g,163.0,2.0,7.37,21.13
Ikan Panggang,100 g,126.0,0.33,3.44,21.94
Ikan Layang,100 g,112.0,0.0,1.75,22.72
Gulai Ikan,100 g,100.0,1.9,4.59,12.4
Ikan Tongkol,100 g,110.0,0.0,0.92,23.87
"Nila (Ikan) (Dimasak, Panas Kering)",100 g,128.0,0.0,2.65,26.15
Ikan Tongkol Asampadeh,100 g,119.0,6.1,3.5,15.7
Ikan Bandeng Goreng,100 g,233.0,2.38,16.4,18.08
Ikan Cakalang,100 g,132.0,0.0,1.29,28.21
Kakap (Ikan) (Spesies Campuran),100 g,100.0,0.0,1.34,20.51
Ikan Tuna,100 g,108.0,0.0,0.95,23.38
Nila (Ikan),100 g,96.0,0.0,1.7,20.08
Ikan Bawal,100 g,84.0,0.0,1.22,17.21
Ikan Mujair,100 g,88.0,0.0,1.34,18.66
Ikan Pindang,100 g,157.0,0.0,2.8,28.0
Ikan Kuah Kuning,100 g,116.0,3.15,2.63,19.16
Ikan Patin,100 g,89.0,0.0,2.96,14.91
Ikan Kerapu,100 g,92.0,0.0,1.02,19.38
Ikan Salem,100 g,158.0,0.0,7.89,20.07
Ikan Asin,100 g,195.0,0.0,1.59,42.16
Ikan Mas,100 g,87.0,0.0,2.08,16.01
Ikan Gurame Asam Manis,100 g,194.0,12.44,10.16,12.54
Ikan Tenggiri,100 g,121.0,0.0,3.3,21.4
Ikan Putih,100 g,172.0,0.0,7.51,24.47
Ikan Todak,100 g,121.0,0.0,4.01,19.8
Lele Goreng,100 g,105.0,0.0,2.85,18.47
Ikan Wader,100 g,84.0,0.0,2.27,14.88
Ikan Belanak,100 g,117.0,0.0,3.79,19.35
Ikan Bawal Goreng,100 g,113.0,0.0,2.69,20.78
Tuna Bumbu Kari,100 g,90.0,3.0,2.5,13.0
Ikan Kembung Goreng,100 g,167.0,0.0,9.36,19.32
Sardines Dalam Saus Extra Pedas,100 g,100.0,6.0,2.0,18.0
Ikan Bandeng,100 g,148.0,0.0,6.73,20.53
Ikan Selar,100 g,100.0,0.0,2.21,18.76
Ikan Lemuru,100 g,112.0,0.0,2.98,20.0
Ikan Kuwe,100 g,74.0,0.0,2.42,12.2
Pepes Tongkol,100 g,105.0,7.1,1.27,15.93
Olahan Ikan,100 g,150.0,27.0,3.5,3.0
Makarel,100 g,128.57,4.29,2.14,22.86
Fish Snack,100 g,350.0,60.0,0.0,25.0
Fish Nugget,100 g,170.0,32.0,1.5,8.0
Ikan Shisamo,100 g,165.0,0.0,8.37,21.14
Pepes Ikan Mas,100 g,98.0,0.16,4.63,13.21
Ikan Tuna Bumbu Pepes,100 g,110.0,6.0,4.5,12.0
Nila Bakar,100 g,130.0,0.6,3.05,25.38
Sardines In Tomato Sauce,100 g,171.43,1.43,11.43,15.71
Tuna Sirip Biru (Ikan),100 g,144.0,0.0,4.9,23.33
Ikan Baung,100 g,144.0,5.2,5.8,17.8
Tuna Sirip Kuning (Ikan),100 g,108.0,0.0,0.95,23.38
Ikan Todak Masak,100 g,177.0,0.49,8.23,23.8
Dimasak Hidup-Hidup,100 g,133.0,0.41,4.24,22.0
Salmon Kalengan,100 g,144.0,0.0,6.28,20.57
Tuna Chunk In Vegetable Oil,100 g,130.0,1.0,4.0,22.0
Fish Shumai,100 g,195.12,18.29,8.54,10.98
Ikan Pecak Atlantik Dan Pacifik,100 g,110.0,0.0,2.29,20.81
Keecho,100 g,200.0,12.0,10.0,16.0
Fish Dumpling Cheese,100 g,125.0,10.0,5.0,10.0
Sarden Dengan Saus Tomat (Campuran),100 g,186.0,0.74,10.46,20.86
Salmon Asap,100 g,117.0,0.0,4.32,18.28
Siomay Ikan,100 g,160.0,18.0,5.0,5.0
Ikan Baronang,100 g,78.0,0.0,0.64,16.96
Ikan Kembung Atlantik,100 g,205.0,0.0,13.89,18.6
Chikuwa,100 g,125.0,25.0,0.0,8.33
Crab Flavored Stick,100 g,133.33,20.0,0.0,6.67
Crab Stick,100 g,93.75,18.75,0.0,6.25
Ikan Senangin,100 g,88.0,0.0,2.11,16.22
Katsuobushi,100 g,340.0,2.34,2.26,76.8
Ikan Gindara,100 g,126.0,0.0,6.91,14.9
Ikan Kembung Kukus,100 g,201.0,2.31,12.0,20.21
Ikan Kod Panggang,100 g,122.0,0.41,3.59,20.91
Ikan Salmon,100 g,146.0,0.0,5.93,21.62
Fish Bites,100 g,260.42,21.88,13.54,11.46
Steamboat,100 g,150.0,20.0,5.0,10.0
Chinese Blackpepper Fish With Cu Chao Mian + Fuyunghai,100 g,946.0,98.0,26.0,80.0
Bakso Ikan,100 g,107.0,11.72,1.23,11.27
Gurame,100 g,125.0,0.0,5.49,17.48
Sarden Saus Sambal,100 g,183.33,8.33,11.67,11.67
Ikan Salmon Atlantik (Ditambak),100 g,183.0,0.0,10.85,19.9
Ikan Kod Atlantik,100 g,82.0,0.0,0.67,17.81
Ikan Kod Pacifik,100 g,82.0,0.0,0.63,17.9
Ikan Dori,100 g,84.0,0.0,4.11,11.02
Terasi,100 g,155.0,9.9,2.9,22.3
Udang,100 g,144.0,1.24,2.35,27.59
Udang Goreng,100 g,287.0,27.57,14.64,10.58
Udang Asam Manis,100 g,269.0,25.12,16.84,6.56
Udang Kukus Atau Rebus,100 g,138.0,1.19,2.26,26.5
Udang Goreng Tepung,100 g,245.0,11.77,12.26,20.7
Sambal Udang,100 g,137.0,24.59,2.47,4.78
Udang Panggang,100 g,154.0,1.17,5.03,24.47
Udang Goreng Mentega,100 g,202.0,12.0,7.0,19.0
Udang Kupas,100 g,62.5,0.0,0.89,11.61
Udang Rebon,100 g,284.0,3.33,3.75,59.15
Udang Crispy,100 g,466.67,26.67,30.0,26.67
Udang (Karang) Rebus Atau Kukus,100 g,81.0,0.0,1.19,16.63
Udang Karang (Udang),100 g,72.0,0.0,0.97,14.85
Kroket Udang,100 g,150.0,26.67,1.67,6.67
Salted Egg Prawn Roll,100 g,535.71,57.14,28.57,14.29
Seafood Platter,100 g,180.0,28.0,5.0,8.0
Ebi Fry,100 g,150.0,20.0,1.25,10.0
Udang Keju,100 g,370.0,27.0,26.0,6.0
Udang Lapis Tepung (Ebi Furai),100 g,150.0,23.0,2.0,10.0
Lumpia Udang,100 g,259.15,5.21,20.7,10.7
Ayam Udang Kribo,100 g,222.22,16.67,10.0,16.67
Siomay Udang,100 g,185.19,18.52,6.48,12.96
Terasi Udang Matang,100 g,250.0,25.0,2.5,40.0
Ebi Furai,100 g,181.82,29.55,1.14,11.36
Naget Udang Ebi Katsu,100 g,170.0,26.0,4.0,8.0
Prawn Crackers,100 g,433.33,76.67,11.67,6.67
